Time(s)	TrafficType	Size(Bytes)	numb_flow
4.12734	ftp	536	1
4.12891	video	142	1
4.12974	video	50	1
4.13049	voip	40	1
4.13132	video	49	1
4.13224	video	61	1
4.13696	ftp	536	1
4.14168	ftp	536	1
4.14254	video	54	1
4.14347	video	62	1
4.14512	gaming	152	2
4.14587	voip	40	2
4.14674	video	55	1
4.15146	ftp	536	1
4.15618	ftp	536	1
4.15769	video	135	1
4.16012	video	250	1
4.16088	voip	40	1
4.16209	video	98	1
4.16303	video	63	1
4.16775	ftp	536	1
4.17247	ftp	536	1
4.1745	video	200	1
4.17541	video	60	1
4.18013	ftp	536	1
4.18485	ftp	536	1
4.18957	ftp	536	1
4.19032	voip	40	2
4.19109	video	42	1
4.19247	gaming	118	1
4.19322	voip	40	1
4.19794	ftp	536	1
4.20266	ftp	536	1
4.20348	video	49	1
4.20487	gaming	119	2
4.20959	ftp	536	1
4.21431	ftp	536	1
4.21674	video	250	1
4.21749	voip	40	2
4.22221	ftp	536	1
4.22693	ftp	536	1
