Time(s)	TrafficType	Size(Bytes)
1.84129	video	109	
1.84209	video	46	
1.84287	video	43	
1.84759	ftp	536	
1.85231	ftp	536	
1.8532	video	57	
1.85482	video	149	
1.857	gaming	219	
1.85778	video	43	
1.8625	ftp	536	
1.86722	ftp	536	
1.87194	ftp	536	
1.87303	video	82	
1.87456	video	137	
1.87511	voip	15	
1.87596	video	53	
1.87721	video	102	
1.88193	ftp	536	
1.88665	ftp	536	
1.89137	ftp	536	
1.89609	ftp	536	
1.89852	video	250	
1.90324	ftp	536	
1.90796	ftp	536	
1.9088	video	51	
1.91124	video	250	
1.91596	ftp	536	
1.92068	ftp	536	
1.92232	gaming	151	
1.92331	video	70	
1.9245	video	95	
1.92922	ftp	536	
1.93394	ftp	536	
1.93866	ftp	536	
1.94338	ftp	536	
1.9481	ftp	536	
1.95282	ftp	536	
1.95754	ftp	536	
1.96226	ftp	536	
1.96698	ftp	536	
1.9717	ftp	536	
1.97306	gaming	116	
1.97778	ftp	536	
1.9825	ftp	536	
1.98722	ftp	536	
1.99194	ftp	536	
1.99666	ftp	536	
2.00138	ftp	536	
2.0061	ftp	536	
2.01082	ftp	536	
2.01554	ftp	536	
2.02026	ftp	536	
2.02498	ftp	536	
2.02591	video	62	
2.02679	video	56	
2.03151	ftp	536	
2.03623	ftp	536	
2.03892	gaming	283	
2.03948	voip	15	
2.04191	video	250	
2.04663	ftp	536	
2.05135	ftp	536	
2.05316	video	172	
2.05788	ftp	536	
2.0626	ftp	536	
2.06503	video	250	
2.06601	video	69	
2.07073	ftp	536	
2.07545	ftp	536	
2.07624	video	44	
2.07836	video	212	
2.08308	ftp	536	
2.0878	ftp	536	
2.089	video	95	
2.08981	video	48	
2.091	gaming	95	
2.09203	video	74	
2.09368	video	153	
2.0984	ftp	536	
2.10312	ftp	536	
2.10784	ftp	536	
2.10876	video	60	
2.11348	ftp	536	
2.1182	ftp	536	
2.11898	video	44	
2.11988	video	59	
2.1246	ftp	536	
2.12932	ftp	536	
2.13107	video	164	
2.13182	video	40	
2.13654	ftp	536	
2.14126	ftp	536	
2.14219	video	62	
2.14295	video	41	
2.14375	video	46	
2.14536	gaming	147	
2.15008	ftp	536	
2.1548	ftp	536	
2.15952	ftp	536	
2.16424	ftp	536	
2.16896	ftp	536	
2.17368	ftp	536	
2.1784	ftp	536	
2.18312	ftp	536	
2.18784	ftp	536	
2.19256	ftp	536	
2.19311	voip	15	
2.19783	ftp	536	
2.20255	ftp	536	
2.20468	gaming	213	
2.2094	ftp	536	
2.21412	ftp	536	
2.21884	ftp	536	
2.22356	ftp	536	
2.22828	ftp	536	
2.233	ftp	536	
2.23772	ftp	536	
2.24016	video	250	
2.24488	ftp	536	
2.2496	ftp	536	
2.25035	video	40	
2.25164	video	107	
2.25636	ftp	536	
2.26108	ftp	536	
2.26212	video	76	
2.26287	video	40	
2.26759	ftp	536	
2.27231	ftp	536	
2.27323	gaming	61	
2.27408	video	53	
2.2788	ftp	536	
2.28352	ftp	536	
2.28487	video	114	
2.28959	ftp	536	
2.29431	ftp	536	
2.29638	video	205	
2.3011	ftp	536	
2.30582	ftp	536	
2.30681	video	70	
2.30778	video	67	
2.30863	video	52	
2.31335	ftp	536	
2.31807	ftp	536	
2.31936	video	108	
2.32148	video	211	
2.3262	ftp	536	
2.33092	ftp	536	
2.33564	ftp	536	
2.33643	video	44	
2.33828	gaming	178	
2.33908	video	45	
2.34151	video	250	
2.34623	ftp	536	
2.35095	ftp	536	
2.3518	video	52	
2.35652	ftp	536	
2.36124	ftp	536	
2.36212	video	57	
2.36684	ftp	536	
2.37156	ftp	536	
2.37212	voip	15	
2.3736	video	131	
2.37572	video	212	
2.38044	ftp	536	
2.38516	ftp	536	
2.38632	gaming	91	
2.39104	ftp	536	
2.39576	ftp	536	
2.40048	ftp	536	
2.4052	ftp	536	
2.40992	ftp	536	
2.41464	ftp	536	
2.41936	ftp	536	
2.42408	ftp	536	
2.4288	ftp	536	
2.43352	ftp	536	
2.43475	gaming	99	
2.43947	ftp	536	
2.44419	ftp	536	
2.44891	ftp	536	
2.45363	ftp	536	
2.45835	ftp	536	
2.46307	ftp	536	
2.46779	ftp	536	
2.47251	ftp	536	
2.47723	ftp	536	
2.47894	video	160	
2.47971	video	42	
2.48443	ftp	536	
2.48915	ftp	536	
2.49044	gaming	107	
2.49144	video	72	
2.49616	ftp	536	
2.50088	ftp	536	
2.50274	video	178	
2.50746	ftp	536	
2.51218	ftp	536	
2.51299	video	47	
2.51542	video	250	
2.52014	ftp	536	
2.52486	ftp	536	
2.52729	video	250	
2.53201	ftp	536	
2.53673	ftp	536	
2.53772	video	70	
2.53828	voip	15	
2.53913	video	53	
2.54385	ftp	536	
2.54857	ftp	536	
2.54933	video	41	
2.55009	video	41	
2.55481	ftp	536	
2.55953	ftp	536	
2.56425	ftp	536	
2.56558	video	112	
2.56634	video	41	
2.56776	gaming	123	
2.57248	ftp	536	
2.5772	ftp	536	
2.57816	video	67	
2.58288	ftp	536	
2.5876	ftp	536	
2.58869	video	82	
2.59108	video	245	
2.59264	video	140	
2.5934	video	42	
2.59812	ftp	536	
2.60284	ftp	536	
2.60375	video	59	
2.60847	ftp	536	
2.61319	ftp	536	
2.61395	video	41	
2.61867	ftp	536	
2.62339	ftp	536	
2.62466	gaming	105	
2.62938	ftp	536	
2.6341	ftp	536	
2.63882	ftp	536	
2.64354	ftp	536	
2.64826	ftp	536	
2.65298	ftp	536	
2.6577	ftp	536	
2.66242	ftp	536	
2.66372	gaming	109	
2.66844	ftp	536	
2.67316	ftp	536	
2.67788	ftp	536	
2.6826	ftp	536	
2.68732	ftp	536	
2.69204	ftp	536	
2.69676	ftp	536	
2.69732	voip	15	
2.70204	ftp	536	
2.70676	ftp	536	
2.70751	video	40	
2.709	video	132	
2.71372	ftp	536	
2.71844	ftp	536	
2.71925	video	48	
2.72014	video	57	
2.72091	video	42	
2.72563	ftp	536	
2.73035	ftp	536	
2.7317	gaming	115	
2.73642	ftp	536	
2.74114	ftp	536	
2.74246	video	111	
2.74718	ftp	536	
2.7519	ftp	536	
2.75288	video	68	
2.75383	video	65	
2.75477	video	64	
2.75949	ftp	536	
2.76421	ftp	536	
2.76508	video	55	
2.76588	video	46	
2.76686	video	68	
2.77158	ftp	536	
2.7763	ftp	536	
2.77798	video	156	
2.77946	video	131	
2.78418	ftp	536	
